time,voltage
0.0,214.64
0.03,214.63
0.07,211.53
0.1,210.16
0.13,215.14
0.17,213.13
0.2,204.77
0.23,211.44
0.27,215.7
0.3,213.23
0.33,207.2
0.37,208.33
0.4,222.21
0.43,218.98
0.47,212.21
0.5,214.15
0.53,214.16
0.57,214.72
0.6,209.48
0.63,210.33
0.67,210.92
0.7,212.28
0.73,217.51
0.77,209.05
0.8,207.15
0.83,215.43
0.87,216.1
0.9,219.77
0.93,210.86
0.97,208.22
1.0,221.83
1.03,226.45
1.07,221.27
1.1,226.61
1.13,238.21
1.17,229.54
1.2,224.99
1.23,222.63
1.27,221.26
1.3,226.43
1.33,210.32
1.37,217.08
1.4,226.46
1.43,226.26
1.47,223.71
1.5,217.96
1.53,222.32
1.57,233.42
1.6,225.15
1.63,226.38
1.67,221.56
1.7,217.0
1.73,228.55
1.77,229.62
1.8,232.67
1.83,221.2
1.87,225.84
1.9,225.68
1.93,222.8
1.97,227.11
2.0,225.61
2.03,226.06
2.07,214.26
2.1,222.51
2.13,222.78
2.17,226.45
2.2,217.17
2.23,229.48
2.27,224.44
2.3,220.66
2.33,225.71
2.37,226.19
2.4,221.63
2.43,233.31
2.47,229.86
2.5,233.11
2.53,233.43
2.57,219.95
2.6,228.28
2.63,221.12
2.67,215.46
2.7,231.1
2.73,223.96
2.77,221.92
2.8,229.15
2.83,218.18
2.87,218.68
2.9,222.93
2.93,218.01
2.97,230.68
3.0,228.03
3.03,208.92
3.07,215.86
3.1,201.46
3.13,218.19
3.17,212.17
3.2,217.59
3.23,216.99
3.27,218.22
3.3,225.76
3.33,215.89
3.37,208.69
3.4,215.3
3.43,214.0
3.47,209.79
3.5,213.99
3.53,217.72
3.57,215.7
3.6,213.13
3.63,214.14
3.67,224.01
3.7,212.86
3.73,218.2
3.77,211.21
3.8,215.49
3.83,220.61
3.87,209.11
3.9,210.58
3.93,217.0
3.97,221.18
4.0,216.86
4.03,205.12
4.07,214.11
4.1,216.77
4.13,207.22
4.17,216.91
4.2,214.46
4.23,219.34
4.27,214.69
4.3,209.4
4.33,209.5
4.37,208.95
4.4,217.24
4.43,220.63
4.47,215.36
4.5,215.66
4.53,207.81
4.57,211.36
4.6,217.73
4.63,216.84
4.67,221.95
4.7,211.7
4.73,215.35
4.77,218.91
4.8,217.7
4.83,219.02
4.87,220.32
4.9,224.63
4.93,213.37
4.97,211.4
5.0,232.2
5.03,230.39
5.07,221.73
5.1,221.0
5.13,222.12
5.17,225.48
5.2,226.49
5.23,222.66
5.27,216.9
5.3,233.4
5.33,237.16
5.37,225.2
5.4,216.82
5.43,225.1
5.47,218.26
5.5,225.93
5.53,231.83
5.57,231.11
5.6,216.95
5.63,224.47
5.67,223.05
5.7,217.47
5.73,228.71
5.77,228.01
5.8,220.31
5.83,226.28
5.87,231.23
5.9,217.7
5.93,228.42
5.97,221.49
6.0,221.82
6.03,222.88
6.07,230.81
6.1,229.08
6.13,227.45
6.17,235.56
6.2,225.81
6.23,240.91
6.27,235.69
6.3,225.62
6.33,223.15
6.37,232.71
6.4,220.97
6.43,229.54
6.47,217.84
6.5,222.02
6.53,216.93
6.57,221.47
6.6,224.69
6.63,221.81
6.67,220.9
6.7,221.61
6.73,221.35
6.77,231.82
6.8,236.98
6.83,226.78
6.87,231.02
6.9,224.97
6.93,222.5
6.97,226.19
7.0,208.91
7.03,212.74
7.07,217.35
7.1,219.74
7.13,215.12
7.17,203.25
7.2,206.97
7.23,210.08
7.27,214.55
7.3,210.76
7.33,216.6
7.37,214.24
7.4,210.72
7.43,222.51
7.47,215.64
7.5,212.1
7.53,217.14
7.57,218.53
7.6,211.29
7.63,216.44
7.67,216.58
7.7,208.48
7.73,212.27
7.77,213.2
7.8,224.03
7.83,219.58
7.87,210.56
7.9,216.01
7.93,209.04
7.97,204.85
8.0,225.38
8.03,216.15
8.07,211.05
8.1,209.57
8.13,220.61
8.17,218.81
8.2,213.81
8.23,219.71
8.27,205.63
8.3,217.57
8.33,202.38
8.37,223.89
8.4,217.95
8.43,217.45
8.47,213.6
8.5,214.87
8.53,222.58
8.57,216.91
8.6,210.27
8.63,204.81
8.67,217.6
8.7,225.27
8.73,212.01
8.77,212.89
8.8,209.94
8.83,216.76
8.87,210.38
8.9,220.85
8.93,223.17
8.97,211.52
9.0,217.76
9.03,218.4
9.07,224.26
9.1,215.49
9.13,212.34
9.17,214.56
9.2,215.62
9.23,210.78
9.27,221.35
9.3,215.25
9.33,211.26
9.37,213.34
9.4,210.51
9.43,226.06
9.47,216.06
9.5,210.63
9.53,215.66
9.57,218.39
9.6,207.69
9.63,217.52
9.67,215.27
9.7,219.12
9.73,212.07
9.77,218.96
9.8,216.71
9.83,213.51
9.87,208.69
9.9,211.98
9.93,221.5
9.97,218.69
10.0,228.04
10.03,225.45
10.07,214.39
10.1,234.15
10.13,220.37
10.17,222.19
10.2,231.73
10.23,227.99
10.27,221.56
10.3,229.19
10.33,230.08
10.37,228.23
10.4,231.26
10.43,216.37
10.47,224.19
10.5,221.28
10.53,223.56
10.57,225.11
10.6,226.89
10.63,228.16
10.67,234.0
10.7,227.88
10.73,228.06
10.77,225.16
10.8,230.36
10.83,221.69
10.87,226.21
10.9,216.84
10.93,225.96
10.97,227.89
11.0,219.83
11.03,220.72
11.07,228.16
11.1,226.3
11.13,227.71
11.17,215.58
11.2,232.75
11.23,247.12
11.27,223.19
11.3,224.37
11.33,219.29
11.37,219.49
11.4,216.58
11.43,218.52
11.47,227.92
11.5,222.48
11.53,213.16
11.57,225.6
11.6,224.07
11.63,223.03
11.67,213.93
11.7,223.26
11.73,220.96
11.77,217.8
11.8,220.76
11.83,222.39
11.87,228.97
11.9,224.48
11.93,226.78
11.97,222.97
12.0,219.78
12.03,216.16
12.07,226.12
12.1,217.48
12.13,215.87
12.17,217.79
12.2,211.04
12.23,219.84
12.27,212.32
12.3,207.08
12.33,213.09
12.37,221.98
